"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 21 15:55:25 CST 2022","Wed Sep 21 15:55:47 CST 2022","22351","test_cases.common","test_Product_search","TestProductSearch","","","点击购物车按钮",""
"broken","Thu Sep 22 17:05:46 CST 2022","Thu Sep 22 17:05:46 CST 2022","0","api.testcase","test_login_api","TestLogin","","","test_get_verification_code",""
"broken","Thu Feb 02 16:44:11 CST 2023","Thu Feb 02 16:44:11 CST 2023","7","api.testcase.ExhibitionHall","test_3D_product_api","Test3DProduct","","","test_Sorting_3D_product_in_the_exhibition_hall",""
"broken","Thu Feb 02 16:44:07 CST 2023","Thu Feb 02 16:44:07 CST 2023","8","api.testcase.ExhibitionHall","test_3D_product_api","TestLogin","","","test_Vendor_Role_Login",""
"passed","Wed Sep 21 16:31:29 CST 2022","Wed Sep 21 16:31:47 CST 2022","17784","test_cases.common","test_set_up","TestSetUp","","","隐私政策",""
"passed","Wed Sep 21 17:23:18 CST 2022","Wed Sep 21 17:23:35 CST 2022","17226","test_cases.company","test_GCC_product","TestGCCProduct","","","点击购物车",""
"passed","Wed Sep 21 16:39:21 CST 2022","Wed Sep 21 16:39:54 CST 2022","33288","test_cases.common","test_shop","TestShop","","","随机产品专区加购",""
"passed","Wed Sep 21 17:23:47 CST 2022","Wed Sep 21 17:24:08 CST 2022","20954","test_cases.company","test_Generate_quotation","TestGenerateQuotation","","","点击返回",""
"broken","Wed Sep 21 17:09:49 CST 2022","Wed Sep 21 17:10:30 CST 2022","40302","test_cases.company","test_Company_homepage","TestCompanyHomePage","","","点击首页小展厅轮播图",""
"broken","Wed Sep 21 17:54:41 CST 2022","Wed Sep 21 17:55:27 CST 2022","46270","test_cases.company","test_ShowroomHomePage","TestShowroomHomePage","","","入驻厂家查询",""
"passed","Wed Sep 21 16:09:40 CST 2022","Wed Sep 21 16:09:41 CST 2022","1013","test_cases.common","test_login","TestLogin","","","点击不同意",""
"passed","Wed Sep 21 16:32:27 CST 2022","Wed Sep 21 16:33:00 CST 2022","33479","test_cases.common","test_shop","TestShop","","","产品查询",""
"broken","Thu Feb 02 16:44:24 CST 2023","Thu Feb 02 16:44:24 CST 2023","9","api.testcase.ExhibitionHall","test_Get_statistics_on_the_first_page_of_the_exhibition_hall_api","TestLogin","","","test_Vendor_Role_Login",""
"passed","Wed Sep 21 16:30:31 CST 2022","Wed Sep 21 16:30:47 CST 2022","15767","test_cases.common","test_set_up","TestSetUp","","","退出登录",""
"passed","Wed Sep 21 17:17:38 CST 2022","Wed Sep 21 17:17:50 CST 2022","12042","test_cases.company","test_Company_homepage","TestCompanyHomePage","","","点击消息",""
"passed","Wed Sep 21 15:56:00 CST 2022","Wed Sep 21 15:56:12 CST 2022","12688","test_cases.common","test_Query_vendor","TestQueryVendor","","","点击返回",""
"passed","Wed Sep 21 18:04:47 CST 2022","Wed Sep 21 18:05:04 CST 2022","17244","test_cases.company","test_Spot_area","TestSpotArea","","","产品加购",""
"passed","Wed Sep 21 16:43:12 CST 2022","Wed Sep 21 16:43:28 CST 2022","16204","test_cases.common","test_visitor_register","TestVisitorRegister","","","公司游客点击跳过","公司游客登录"
"passed","Wed Sep 21 17:01:55 CST 2022","Wed Sep 21 17:02:07 CST 2022","11932","test_cases.company","test_Company_homepage","TestCompanyHomePage","","","点击头像",""
"passed","Wed Sep 21 17:21:49 CST 2022","Wed Sep 21 17:22:07 CST 2022","17445","test_cases.company","test_GCC_product","TestGCCProduct","","","查看产品",""
"broken","Wed Sep 21 18:17:12 CST 2022","Wed Sep 21 18:17:55 CST 2022","43116","test_cases.company","test_shopping_cart","TestShoppingCart","","","生成报价",""
